UniprotID,afdb_structure_url,afdb_model_version,http_status,content_length,afdb_structure_sha256,parser_status,selected_chain
A0A009IHW8,,v6,200,0,bec53b3812dd9262c0f776c7a7ba1cda92ff5e6538f5978167577190308b2dfc,,
A0A017SPL2,,v6,200,0,53e277202ad73d327b7652234e1fa17f29833697e30ea2fde136becf615b4d7e,,
A0A023GS29,,,404,0,,,
A0A059WGE7,,,404,0,,,
A0A059WI14,,v6,200,0,27aa5db120bffe55272faf4703127181f76de05c05c9b31dfaf3703cf678c90e,,
A0A061FLA2,,,404,0,,,
A0A067DDU9,,v6,200,0,db725fa3fe098364355738c4ab6f9113a08f632fea42d0a8e25ccedc2cca6be0,,
A0A067DKP1,,v6,200,0,7b4cfdcac85152535cab1f44902ab7bfb98a1142f540a3109f490b857bf4e1ab,,
A0A067ECN5,,v6,200,0,c97e523cd72a29d1eeb8451a7d828879aabbd61277724c222831e59bacb73c7f,,
A0A067FI21,,v6,200,0,c1240ef7357de65ea525c506a81aa1a466b9efb84f05bb022391b11c394480af,,
A0A075D654,,v6,200,0,dc08c1d4a18347877a058142374fd04ec4f3944bb7dfd665bf5c28381a2e59bd,,
A0A075D6M1,,v6,200,0,05bf44115f18753def4f71af6d48a659ce19251e608304d3a790cfe51c116d2a,,
A0A077EYL8,,,000,0,,,
A0A089LCJ8,,v6,200,0,ab9b1576c7536ab2b9af11804b6e376ddaa04417dc2125a637257c910915b1a6,,
A0A089MMR2,,v6,200,0,ecfd6cc95919de7e12a0e64ef581e0f405ae69304dafe60691e2aba56fdce1fa,,
A0A0E0S0W9,,v6,200,0,a0b143d375b19f3f3ab07a5e4515468e457b86979c87fa00f27ce714a22884e0,,
A0A0E1RWL5,,v6,200,0,894fe07261a34a22fc6d094cba2eb67f8b66f15a813d36e5252218307aa1e1b4,,
A0A0F4YI33,,v6,200,0,70e726ddcab3a64bc7df9a512e42e4570d3ea5526db0207368d71098da66c67b,,
A0A0F7TWW9,,v6,200,0,9e6b9b9ff9d52806915d88b0ad60fdbaa21bf6c709e09dd720dfc5db2bca24e8,,
A0A0F9X418,,v6,200,0,c6311b693bed66c582f6935bb07696c296eba46265c08f66f0954aedfa9a0e52,,
A0A0G2JDV3,,v6,200,0,a9a2c2b814f0c460ec43d28df9bd6c584fc1cb0f414118134ef8258d1318a10e,,
A0A0G2JZ79,,v6,200,0,76564d000d4995615aa505f5b440cfaabfd525b5d99738ea3019fafa7952bdb9,,
A0A0H2V660,,v6,200,0,7c344a6c210f277bb63e1fa046ba3ea3f891263b046053499d2e64e1837e5d59,,
A0A0H2V760,,v6,200,0,cbbd797bed03be035813f3747220d9df1a2794e20d0f83e267b2d4c78439a118,,
A0A0H3DK98,,v6,200,0,fa6175e4b87b51e92be76a769d72584e80af5deb3395c86a9a967520f5f898eb,,
A0A0H3DN66,,v6,200,0,db043e0e4820ae1608bd0466cb521ccf17bd35b4da0bcd4ca306bf958aad1b99,,
A0A0H3GEM5,,v6,200,0,b3d762c0f51e5d46ebad354d54c02bb7eac9e83e4f0bf9f1ec5bb072bb4af163,,
A0A0H3LSV1,,v6,200,0,62156c6ca4ea6db111d89e264b7a771e9ee50bbca0ad971b318c39fdbaf31952,,
A0A0H3LVU7,,v6,200,0,d3f481e532883251339e2cab83f5bf80225fc24706913315e9b04e9dcf5b68eb,,
A0A0J9UVX2,,v6,200,0,94b9c47639e2105353d8db6dce85a57011dc0791b879aaac2711bfd42e1eee82,,
A0A0J9X285,,v6,200,0,dae4422eb0b6fafdb05cb90ac1c7850387e2f8ce88cd659c19f0be54bb76072c,,
A0A0M2H929,,v6,200,0,ba7c7e19d0d0bbd74917d017a3dc65b1aced46767a0e2908d2a076f488d8e36e,,
A0A0M8N4S6,,v6,200,0,335d5182c423c489df3781dac497585bd787508b1ec5d2987d3957f9646428cb,,
A0A0M8N8I0,,v6,200,0,2b3685065246b947aa2a494148d07305d51c996170a675e588342ce83b340773,,
A0A0M8N9Q3,,v6,200,0,c07ac79d61f9eded77dc3f7fb2aa80ba5d64ca3dfb98905b45e2c33182155366,,
A0A0M9VUI4,,v6,200,0,7243a3900d246e11ea8692a4b8e1e0a1890d85c4eeeeaab6e6c571b859701eaf,,
A0A0M9VUJ4,,v6,200,0,7c7e2f2470d08f28c62bd2de5392ab3be39d7c78cce471c49bda6a73e0eb11c7,,
A0A0P0FGV9,,v6,200,0,f867da97404c91aa8836c8af0a79552bfbb00231dce3436299fa6206f7b9acfe,,
