full_route_case_id,scope,pollutant_name,pollutant_category,tool_id,route_id,optional_route,path_id,path_rank_within_case,path_depth,compound_node_id_path,compound_smiles_canonical_path,compound_inchikey_path,edge_id_path,edge_score_raw_path,edge_score_semantics_path,path_score_raw,path_score_semantics,path_status,stopped_reason,simple_path_valid,has_repeated_node_id,has_repeated_smiles_canonical,has_repeated_edge_id,contains_parent_copy_edge,contains_source_self_loop_edge,restricted_answer_key_read,scoring_performed
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp01,1,4,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00003"", ""FR-BBD3-CAND-c0105__n00008"", ""FR-BBD3-CAND-c0105__n00015""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""Oc1cc(O)c(O)c(Cl)c1"", ""Oc1cc(O)c(O)c(Cl)c1O"", ""Oc1cc(O)c(O)cc1O""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""GVZRJQSQNLOFNR-UHFFFAOYSA-N"", ""PJYZHRNZADIBBI-UHFFFAOYSA-N"", ""UYQMSQMCIYSXOW-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00003"", ""FR-BBD3-CAND-c0105__e00008"", ""FR-BBD3-CAND-c0105__e00016""]","[1.0, 1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp02,2,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00003"", ""FR-BBD3-CAND-c0105__n00012""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""Oc1cc(O)c(O)c(Cl)c1"", ""Oc1ccc(O)c(O)c1""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""GVZRJQSQNLOFNR-UHFFFAOYSA-N"", ""GGNQRNBDZQJCCN-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00003"", ""FR-BBD3-CAND-c0105__e00012""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp03,3,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00004"", ""FR-BBD3-CAND-c0105__n00009""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""Oc1ccccc1O"", ""C=CCC(=O)C(=O)O""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""YCIMNLLNPGFGHC-UHFFFAOYSA-N"", ""NOXRYJAWRSNUJD-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00004"", ""FR-BBD3-CAND-c0105__e00009""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp04,4,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00004"", ""FR-BBD3-CAND-c0105__n00007""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""Oc1ccccc1O"", ""O=CO""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""YCIMNLLNPGFGHC-UHFFFAOYSA-N"", ""BDAGIHXWWSANSR-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00004"", ""FR-BBD3-CAND-c0105__e00013""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp05,5,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00005"", ""FR-BBD3-CAND-c0105__n00010""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""Oc1ccc(O)c(Cl)c1O"", ""C=C(O)C(Cl)C(=O)C(=O)O""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""ABLFWMWVDNPOAX-UHFFFAOYSA-N"", ""GQYWZXVCEYAKNC-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00005"", ""FR-BBD3-CAND-c0105__e00010""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp06,6,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00006"", ""FR-BBD3-CAND-c0105__n00011""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""C=CC(Cl)C(=O)C(=O)O"", ""O=C(O)C(=O)C(Cl)C1CO1""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""FXRRVXIBZDSYFY-UHFFFAOYSA-N"", ""NLSZAZCHHAFIPC-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00006"", ""FR-BBD3-CAND-c0105__e00011""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp07,7,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00006"", ""FR-BBD3-CAND-c0105__n00013""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""C=CC(Cl)C(=O)C(=O)O"", ""CCC(Cl)C(=O)C(=O)O""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""FXRRVXIBZDSYFY-UHFFFAOYSA-N"", ""DOVWZAHPBVXVKP-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00006"", ""FR-BBD3-CAND-c0105__e00014""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp08,8,3,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00006"", ""FR-BBD3-CAND-c0105__n00014""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""C=CC(Cl)C(=O)C(=O)O"", ""CC(O)C(Cl)C(=O)C(=O)O""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""FXRRVXIBZDSYFY-UHFFFAOYSA-N"", ""BIJVDISFXJNDSY-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00006"", ""FR-BBD3-CAND-c0105__e00015""]","[1.0, 1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp09,9,2,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00001"", ""FR-BBD3-CAND-c0105__n00007""]","[""Clc1ccccc1"", ""Oc1cccc(Cl)c1O"", ""O=CO""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""GQKDZDYQXPOXEM-UHFFFAOYSA-N"", ""BDAGIHXWWSANSR-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00001"", ""FR-BBD3-CAND-c0105__e00007""]","[1.0, 1.0]","[""multi_generation_edge_probability"", ""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
FR-BBD3-CAND-c0105,scope_b_v0_3_candidate,Chlorobenzene,unclassified_candidate,envipath_prediction,envipath_bbd_rules_multistep,False,FR-BBD3-CAND-c0105__sp10,10,1,"[""FR-BBD3-CAND-c0105__n00000"", ""FR-BBD3-CAND-c0105__n00002""]","[""Clc1ccccc1"", ""c1ccccc1""]","[""MVPPADPHJFYWMZ-UHFFFAOYSA-N"", ""UHOVQNZJYSORNB-UHFFFAOYSA-N""]","[""FR-BBD3-CAND-c0105__e00002""]",[1.0],"[""multi_generation_edge_probability""]",1.0,path_probability_product,simple_acyclic_path,frontier_empty,True,False,False,False,False,False,False,False
